candidate,period,horizon,n,exceedances,mae,rmse,median_ae,bias,point_recall,point_precision,point_fpr,brier,brier_skill,auc,prob_recall,prob_precision,prob_fpr,alarms,interval80_coverage,level_substituted_fraction
v3_saved,2025,60,409,72,1.1638925840546643,1.783974069747938,0.88030576103478,-0.2475050954075308,0.1111111111111111,0.5,0.02373887240356083,0.1361367739136598,0.061445117167370444,0.7086630398944939,0.3472222222222222,0.3968253968253968,0.11275964391691394,63.0,,
v3_refit,2025,60,409,72,1.2081831345441278,1.8146183687040398,0.8796109415913325,-0.29631263380046985,0.09722222222222222,0.4666666666666667,0.02373887240356083,0.13840966103609287,0.04577536647796532,0.6864490603363007,0.19444444444444445,0.42424242424242425,0.05637982195845697,33.0,0.7457212713936431,
hgb_fixed,2025,60,409,72,1.1406724965384232,1.7505008279431007,0.8211935012116118,-0.24380898723844066,0.08333333333333333,0.5,0.017804154302670624,0.13594490736046666,0.06276788459585303,0.688921859545005,0.2916666666666667,0.3684210526315789,0.10682492581602374,57.0,0.80440097799511,
v4r,2025,120,410,72,1.257518075706719,1.8574414822217098,0.921138816310938,-0.21823861403051173,0.1527777777777778,0.5238095238095238,0.029585798816568046,0.1423414691458326,0.01678168296291671,0.6450731426692965,0.2361111111111111,0.3617021276595745,0.08875739644970414,47.0,0.7658536585365854,
naive_previous_lab,2025,120,410,72,1.6004877555661086,2.2746642335886564,1.1999998092651367,-0.06878048675816231,0.25,0.26865671641791045,0.14497041420118342,,,,,,,,,0.0024390243902439024
anchored_q21,2025,120,410,72,1.6267440027822326,2.6587445353752646,1.0920533736546822,0.07367666266798002,0.2638888888888889,0.2714285714285714,0.15088757396449703,,,,,,,,,0.014634146341463415
anchored_pak,2025,120,410,72,1.3448245297117931,2.004308442847508,0.9384092291196189,-0.058806477281136436,0.2638888888888889,0.3333333333333333,0.11242603550295859,,,,,,,,,0.012195121951219513
v3_saved,2025,120,410,72,1.2806451644330448,1.841048914102819,0.9568960721532225,-0.22693399269647227,0.08333333333333333,0.6,0.011834319526627219,0.14137226920372567,0.023476394923311772,0.6194526627218935,0.2638888888888889,0.3064516129032258,0.12721893491124261,62.0,,
v3_refit,2025,120,410,72,1.2980316988815241,1.8504955913142676,0.9687252267612418,-0.2603783098241664,0.09722222222222222,0.7777777777777778,0.005917159763313609,0.14086293698607608,0.026994587961892358,0.6212401380670611,0.1527777777777778,0.44,0.04142011834319527,25.0,0.7609756097560976,
hgb_fixed,2025,120,410,72,1.2436153091788733,1.8306023351153855,0.8924642911925149,-0.4211957960919127,0.06944444444444445,0.7142857142857143,0.005917159763313609,0.13926341596084754,0.03804321897524365,0.6190006574621959,0.1527777777777778,0.4782608695652174,0.03550295857988166,23.0,0.8219512195121951,
v4r,2025,180,411,72,1.5816500983634494,5.819942008444624,0.9901485225562361,-0.5460628488350422,0.125,0.42857142857142855,0.035398230088495575,0.1464338841300979,-0.01342830797854222,0.6086733857751557,0.16666666666666666,0.41379310344827586,0.05014749262536873,29.0,0.7299270072992701,
naive_previous_lab,2025,180,411,72,1.8523113826185538,5.942070286579354,1.1999998092651367,-0.33017031989828516,0.25,0.26865671641791045,0.14454277286135694,,,,,,,,,0.0024330900243309003
anchored_q21,2025,180,411,72,2.1629625801042334,6.315855542331545,1.1832320292790754,0.053333889974004844,0.2916666666666667,0.23333333333333334,0.20353982300884957,,,,,,,,,0.0072992700729927005
anchored_pak,2025,180,411,72,1.7222059463835881,5.896399648682526,0.9935694138209037,-0.294110689671757,0.2222222222222222,0.26666666666666666,0.12979351032448377,,,,,,,,,0.0072992700729927005
v3_saved,2025,180,411,72,1.5611360299873012,5.787867114577645,1.0348307004472392,-0.558537891044122,0.013888888888888888,1.0,0.0,0.14224800290172263,0.015541015316212659,0.6094313339888561,0.09722222222222222,0.4117647058823529,0.029498525073746312,17.0,,
v3_refit,2025,180,411,72,1.5864616090049193,5.7966422631338155,1.071827482005812,-0.5781361748908205,0.013888888888888888,0.5,0.0029498525073746312,0.1460434357885062,-0.01072612327229816,0.5919780399868896,0.06944444444444445,0.38461538461538464,0.02359882005899705,13.0,0.7445255474452555,
hgb_fixed,2025,180,411,72,1.4865306446525768,5.806873956152721,0.8604180923683966,-0.7136350736920724,0.041666666666666664,1.0,0.0,0.14059755769476787,0.026963288947972952,0.6038593903638152,0.09722222222222222,0.5,0.02064896755162242,14.0,0.8248175182481752,
v4r,dev_2024_2025,0,748,104,1.1003388624842363,2.19835006052671,0.6276082522191864,0.09665894097347123,0.47115384615384615,0.532608695652174,0.06677018633540373,0.11088934027638507,0.07365280933470864,0.7885585881509795,0.6634615384615384,0.3770491803278688,0.17701863354037267,183.0,0.7366310160427807,
naive_previous_lab,dev_2024_2025,0,748,104,1.7086898043831402,2.6420271128900397,1.200000524520875,0.002540100385798471,0.2403846153846154,0.24752475247524752,0.11801242236024845,,,,,,,,,0.001336898395721925
anchored_q21,dev_2024_2025,0,748,104,1.1506219571605723,2.4095271320396106,0.6467926303545628,0.08589679996172593,0.47115384615384615,0.5,0.07608695652173914,,,,,,,,,0.004010695187165776
anchored_pak,dev_2024_2025,0,748,104,1.2462080220281813,1.8892564657533113,0.822691659132639,-0.12590719173444895,0.3173076923076923,0.4520547945205479,0.062111801242236024,,,,,,,,,0.03074866310160428
v3_saved,dev_2024_2025,0,748,104,1.0838903127570232,1.9468155617841367,0.6917569016965155,-0.003506249905284512,0.25961538461538464,0.47368421052631576,0.046583850931677016,0.1075224676121045,0.10177898472821723,0.7740683229813664,0.5673076923076923,0.38562091503267976,0.14596273291925466,153.0,,
v3_refit,dev_2024_2025,0,748,104,1.0988661317030106,1.9603793871138575,0.7001460383604368,-0.022272144799475473,0.2692307692307692,0.4827586206896552,0.046583850931677016,0.10915641739380468,0.08812929769614053,0.7783086478738652,0.5384615384615384,0.4,0.13043478260869565,140.0,0.7379679144385026,
hgb_fixed,dev_2024_2025,0,748,104,1.0678203521935534,1.7109431951057548,0.7233996741758366,0.029781984062292766,0.25961538461538464,0.54,0.03571428571428571,0.11588147886155317,0.03194949013147319,0.735218585762064,0.5288461538461539,0.35714285714285715,0.15372670807453417,154.0,0.7005347593582888,
v4r,dev_2024_2025,60,751,103,1.1496480023110192,1.8152398328832207,0.7582524432402824,0.04366394734642874,0.20388349514563106,0.3684210526315789,0.05555555555555555,0.11651220877759437,0.015447047483339471,0.721607934795637,0.46601941747572817,0.34532374100719426,0.1404320987654321,139.0,0.7603195739014648,
naive_previous_lab,dev_2024_2025,60,751,103,1.6663115526166323,2.557915015086108,1.1999998092651367,-0.0018641850284825381,0.24271844660194175,0.25510204081632654,0.11265432098765432,,,,,,,,,0.0013315579227696406
anchored_q21,dev_2024_2025,60,751,103,1.4304784020475954,2.540060214319285,0.8935564756393433,0.08514008742144949,0.30097087378640774,0.3069306930693069,0.10802469135802469,,,,,,,,,0.007989347536617843
anchored_pak,dev_2024_2025,60,751,103,1.2259317283769526,1.95133318916566,0.8037428855895996,-0.12246824209022356,0.2912621359223301,0.38461538461538464,0.07407407407407407,,,,,,,,,0.03062583222370173
v3_saved,dev_2024_2025,60,751,103,1.176698199860288,1.7905585914299222,0.8603877048204298,0.020350867684558842,0.1262135922330097,0.38235294117647056,0.032407407407407406,0.11549495390685015,0.024043067565363563,0.7190758719884933,0.36893203883495146,0.33043478260869563,0.11882716049382716,115.0,,
