candidate,period,horizon,rows,accepted,coverage,abstained_above_10,common_rows,own_mae,own_rmse,own_brier,own_auc
v3_refit,2024,180,385,341,0.8857142857142857,11,339,1.4983174003927533,2.07868011208906,0.10681842610488426,0.6242038216560509
v3_refit,2025,0,417,407,0.9760191846522782,4,407,1.094304573554511,1.8824372995954097,0.12804398700565817,0.7520315091210613
v3_refit,2025,60,417,409,0.9808153477218226,4,409,1.2081831345441278,1.8146183687040398,0.13840966103609287,0.6864490603363007
v3_refit,2025,120,417,412,0.988009592326139,3,410,1.396268364500545,2.5551044781896954,0.14182647619523392,0.6245807572635067
v3_refit,2025,180,417,411,0.9856115107913669,4,411,1.5864616090049193,5.7966422631338155,0.1460434357885062,0.5919780399868896
v3_refit,dev_2024_2025,0,803,751,0.9352428393524284,9,748,1.2197837509543337,3.900665432343214,0.10872077258397587,0.7809671236915819
v3_refit,dev_2024_2025,60,803,754,0.9389788293897883,11,751,1.1956373544968792,1.8050976397263554,0.11658667512541511,0.6961209789271173
v3_refit,dev_2024_2025,120,802,758,0.9451371571072319,13,754,1.356036753303128,2.255156505317,0.1164241889121482,0.6157526711575267
v3_refit,dev_2024_2025,180,802,752,0.9376558603491272,15,750,1.5464919612166899,4.508188020760357,0.1282565630463319,0.5146719878726004
v3_refit,audit_2026,0,253,235,0.9288537549407114,1,234,1.1214893608130305,2.0453939005155153,0.1045554429259852,0.8487142857142858
v3_refit,audit_2026,60,253,236,0.932806324110672,2,234,1.2728229999160083,2.0012367654122647,0.11518716389304248,0.710104834012813
v3_refit,audit_2026,120,253,236,0.932806324110672,2,234,1.4024315968404086,2.166182749307872,0.12817165031586558,0.6375946418171229
v3_refit,audit_2026,180,253,236,0.932806324110672,2,234,1.4532257474412436,2.1800220438259172,0.12405696259142757,0.5829935934769948
hgb_fixed,2024,0,386,346,0.8963730569948186,6,341,1.1230950650341522,1.68520663795129,0.10477445372461336,0.78234474522293
hgb_fixed,2024,60,386,344,0.8911917098445595,7,342,1.1357970838416633,1.6191609262706312,0.10347425208150052,0.7475523034113161
hgb_fixed,2024,120,385,347,0.9012987012987013,9,344,1.3564325625543387,1.815566734724385,0.1237586935374235,0.6445456517024507
hgb_fixed,2024,180,385,341,0.8857142857142857,11,339,1.4084302231889025,1.9722911113875765,0.12136886831761015,0.6310450577966501
hgb_fixed,2025,0,417,407,0.9760191846522782,4,407,1.0258737682178,1.7332443730903127,0.12390143783716352,0.7479684908789387
hgb_fixed,2025,60,417,409,0.9808153477218226,4,409,1.1406724965384232,1.7505008279431007,0.13594490736046666,0.688921859545005
hgb_fixed,2025,120,417,410,0.9832134292565947,4,410,1.2436153091788733,1.8306023351153855,0.13926341596084754,0.6190006574621959
hgb_fixed,2025,180,417,411,0.9856115107913669,4,411,1.4865306446525768,5.806873956152721,0.14059755769476787,0.6038593903638152
hgb_fixed,dev_2024_2025,0,803,753,0.937733499377335,10,748,1.070546502213096,1.711338713141362,0.11511267754109133,0.7370362688159299
hgb_fixed,dev_2024_2025,60,803,753,0.937733499377335,11,751,1.1384452163688543,1.6917651429079479,0.12111103562611825,0.6958177744585512
hgb_fixed,dev_2024_2025,120,802,757,0.9438902743142145,13,754,1.295329426644245,1.8237255784448296,0.1321562314417879,0.5802191499637769
hgb_fixed,dev_2024_2025,180,802,752,0.9376558603491272,15,750,1.4511154269409907,4.493686259778605,0.131878165304328,0.5504354417064984
hgb_fixed,audit_2026,0,253,234,0.924901185770751,1,234,1.1186573843223555,1.9754631228681667,0.11370392875701224,0.7635319454414932
hgb_fixed,audit_2026,60,253,234,0.924901185770751,2,234,1.211715339996068,1.9623969406231279,0.11904044403470589,0.7138970588235294
hgb_fixed,audit_2026,120,253,234,0.924901185770751,2,234,1.2533108855406092,1.960445868283603,0.1338061616237388,0.6144852941176471
hgb_fixed,audit_2026,180,253,234,0.924901185770751,2,234,1.3672204990001318,2.0745095497866304,0.13195346271280514,0.5877941176470588
