period,horizon,candidate,reference,n,mae_delta,mae_delta_95ci,mae_reference,brier_delta,brier_delta_95ci
2025,180,hgb_fixed,v3_saved,411,-0.07460538533472436,"[-0.14382580614950052, -0.008008280449401349]",1.5611360299873012,-0.0016504452069547855,"[-0.00922256754764576, 0.0059549806214118746]"
2025,180,hgb_fixed,v3_refit,411,-0.0999309643523424,"[-0.16516936991620668, -0.0373985517834562]",1.5864616090049193,-0.0054458780937383655,"[-0.014995185529918898, 0.0038373514866431313]"
2025,180,hgb_fixed,naive_previous_lab,411,-0.3657807379659767,"[-0.528019191348482, -0.21841435167678022]",1.8523113826185538,,
dev_2024_2025,0,v4r,v3_saved,748,0.016448549727213317,"[-0.01928331533912604, 0.05447833034338418]",1.0838903127570232,0.0033668726642805493,"[-0.002403389245431802, 0.009342473264069243]"
dev_2024_2025,0,v4r,v3_refit,748,0.001472730781225705,"[-0.03737085323030476, 0.046182504134027705]",1.0988661317030106,0.001732922882580395,"[-0.004466506671043453, 0.008054948568491128]"
dev_2024_2025,0,v4r,naive_previous_lab,748,-0.6083509418989037,"[-0.8154185331138155, -0.40870678528491244]",1.7086898043831402,,
dev_2024_2025,0,naive_previous_lab,v3_saved,748,0.6247994916261171,"[0.45433721004231115, 0.8099306388231144]",1.0838903127570232,,
dev_2024_2025,0,naive_previous_lab,v3_refit,748,0.6098236726801294,"[0.4438826779618827, 0.7885702130201122]",1.0988661317030106,,
dev_2024_2025,0,anchored_q21,v3_saved,748,0.06673164440354928,"[0.013332579833696984, 0.12791388335587495]",1.0838903127570232,,
dev_2024_2025,0,anchored_q21,v3_refit,748,0.05175582545756167,"[-0.009004347953334327, 0.11805840118332296]",1.0988661317030106,,
dev_2024_2025,0,anchored_q21,naive_previous_lab,748,-0.5580678472225679,"[-0.7826291695142261, -0.3397850793911178]",1.7086898043831402,,
dev_2024_2025,0,anchored_pak,v3_saved,748,0.16231770927115818,"[0.06502146914784689, 0.25965739352944056]",1.0838903127570232,,
dev_2024_2025,0,anchored_pak,v3_refit,748,0.14734189032517056,"[0.05144456762444771, 0.24439488602089074]",1.0988661317030106,,
dev_2024_2025,0,anchored_pak,naive_previous_lab,748,-0.46248178235495896,"[-0.6529457379897816, -0.2937306420782535]",1.7086898043831402,,
dev_2024_2025,0,v3_saved,v3_refit,748,-0.014975818945987611,"[-0.025361271683654114, -0.005035300750253316]",1.0988661317030106,-0.0016339497817001547,"[-0.003362000504078727, -3.037982506658362e-05]"
dev_2024_2025,0,v3_saved,naive_previous_lab,748,-0.6247994916261171,"[-0.8099306388231147, -0.4543372100423114]",1.7086898043831402,,
dev_2024_2025,0,v3_refit,v3_saved,748,0.014975818945987611,"[0.005035300750253311, 0.02536127168365411]",1.0838903127570232,0.0016339497817001547,"[3.037982506658275e-05, 0.0033620005040787266]"
dev_2024_2025,0,v3_refit,naive_previous_lab,748,-0.6098236726801294,"[-0.7885702130201124, -0.4438826779618827]",1.7086898043831402,,
dev_2024_2025,0,hgb_fixed,v3_saved,748,-0.016069960563469547,"[-0.08981471458698065, 0.05555212378355011]",1.0838903127570232,0.008359011249448652,"[-0.001180964096650296, 0.017412396944540665]"
dev_2024_2025,0,hgb_fixed,v3_refit,748,-0.03104577950945716,"[-0.10192581548935506, 0.037882175358252244]",1.0988661317030106,0.006725061467748496,"[-0.0028860313552198963, 0.015932900879917153]"
dev_2024_2025,0,hgb_fixed,naive_previous_lab,748,-0.6408694521895866,"[-0.8087424452415175, -0.4946070636250352]",1.7086898043831402,,
dev_2024_2025,60,v4r,v3_saved,751,-0.027050197549268618,"[-0.08685040147809645, 0.03524130916730707]",1.176698199860288,0.00101725487074419,"[-0.006675642397154289, 0.009446352493854676]"
dev_2024_2025,60,v4r,v3_refit,751,-0.04337030245432336,"[-0.10316869737281609, 0.018802833640339335]",1.1930183047653427,-0.00042545254861170017,"[-0.00886867661952361, 0.009213085106858903]"
dev_2024_2025,60,v4r,naive_previous_lab,751,-0.5166635503056132,"[-0.7013785356314605, -0.3472992102294282]",1.6663115526166323,,
dev_2024_2025,60,naive_previous_lab,v3_saved,751,0.4896133527563446,"[0.3278594729295139, 0.6682530785032565]",1.176698199860288,,
dev_2024_2025,60,naive_previous_lab,v3_refit,751,0.47329324785128984,"[0.3146065603598402, 0.6468034026588615]",1.1930183047653427,,
dev_2024_2025,60,anchored_q21,v3_saved,751,0.2537802021873075,"[0.15933623319366477, 0.3580640461536267]",1.176698199860288,,
dev_2024_2025,60,anchored_q21,v3_refit,751,0.23746009728225279,"[0.13815241312079576, 0.3472849848620151]",1.1930183047653427,,
dev_2024_2025,60,anchored_q21,naive_previous_lab,751,-0.23583315056903703,"[-0.458308088429819, -0.02212126241968319]",1.6663115526166323,,
dev_2024_2025,60,anchored_pak,v3_saved,751,0.0492335285166649,"[-0.02363985250680449, 0.12716149778460606]",1.176698199860288,,
dev_2024_2025,60,anchored_pak,v3_refit,751,0.03291342361161016,"[-0.03874245873616583, 0.10582237995676068]",1.1930183047653427,,
dev_2024_2025,60,anchored_pak,naive_previous_lab,751,-0.4403798242396796,"[-0.6306326503104661, -0.278665103273985]",1.6663115526166323,,
