month,horizon,cost_ratio,policy,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025-11,0,20,logistic_bayes,41,9,9,31,0,1,1.0,0.225,0.96875,0.975609756097561,31.0,75.60975609756098
2025-12,0,20,logistic_bayes,36,5,5,24,0,7,1.0,0.1724137931034483,0.7741935483870968,0.8055555555555556,24.0,66.66666666666666
2025-01,0,20,logistic_fixed_030,31,1,0,0,1,30,0.0,,0.0,0.0,20.0,64.51612903225806
2025-02,0,20,logistic_fixed_030,29,8,1,0,7,21,0.125,1.0,0.0,0.034482758620689655,140.0,482.7586206896552
2025-03,0,20,logistic_fixed_030,33,12,6,2,6,19,0.5,0.75,0.09523809523809523,0.24242424242424243,122.0,369.6969696969697
2025-04,0,20,logistic_fixed_030,31,5,2,3,3,23,0.4,0.4,0.11538461538461539,0.16129032258064516,63.0,203.2258064516129
2025-05,0,20,logistic_fixed_030,34,4,1,2,3,28,0.25,0.3333333333333333,0.06666666666666667,0.08823529411764706,62.0,182.35294117647058
2025-06,0,20,logistic_fixed_030,32,2,0,2,2,28,0.0,0.0,0.06666666666666667,0.0625,42.0,131.25
2025-07,0,20,logistic_fixed_030,33,1,0,1,1,31,0.0,0.0,0.03125,0.030303030303030304,21.0,63.63636363636363
2025-08,0,20,logistic_fixed_030,31,5,0,0,5,26,0.0,,0.0,0.0,100.0,322.5806451612903
2025-09,0,20,logistic_fixed_030,32,7,1,0,6,25,0.14285714285714285,1.0,0.0,0.03125,120.0,375.0
2025-10,0,20,logistic_fixed_030,44,13,3,6,10,25,0.23076923076923078,0.3333333333333333,0.1935483870967742,0.20454545454545456,206.0,468.1818181818182
2025-11,0,20,logistic_fixed_030,41,9,3,5,6,27,0.3333333333333333,0.375,0.15625,0.1951219512195122,125.0,304.8780487804878
2025-12,0,20,logistic_fixed_030,36,5,2,0,3,31,0.4,1.0,0.0,0.05555555555555555,60.0,166.66666666666669
2025-01,0,20,residual_bayes,31,1,1,7,0,23,1.0,0.125,0.23333333333333334,0.25806451612903225,7.0,22.58064516129032
2025-02,0,20,residual_bayes,29,8,6,16,2,5,0.75,0.2727272727272727,0.7619047619047619,0.7586206896551724,56.0,193.10344827586206
2025-03,0,20,residual_bayes,33,12,9,19,3,2,0.75,0.32142857142857145,0.9047619047619048,0.8484848484848485,79.0,239.3939393939394
2025-04,0,20,residual_bayes,31,5,5,14,0,12,1.0,0.2631578947368421,0.5384615384615384,0.6129032258064516,14.0,45.16129032258064
2025-05,0,20,residual_bayes,34,4,4,28,0,2,1.0,0.125,0.9333333333333333,0.9411764705882353,28.0,82.35294117647058
2025-06,0,20,residual_bayes,32,2,1,25,1,5,0.5,0.038461538461538464,0.8333333333333334,0.8125,45.0,140.625
2025-07,0,20,residual_bayes,33,1,1,28,0,4,1.0,0.034482758620689655,0.875,0.8787878787878788,28.0,84.84848484848484
