year,horizon,cost_ratio,policy,threshold,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025,180,20,logistic_empirical,0.15859325793878384,411,72,43,185,29,154,0.5972222222222222,0.18859649122807018,0.5457227138643068,0.5547445255474452,765.0,186.13138686131387
2025,180,20,logistic_bayes,0.047619047619047616,411,72,71,327,1,12,0.9861111111111112,0.17839195979899497,0.9646017699115044,0.9683698296836983,347.0,84.42822384428223
2025,180,20,logistic_fixed_030,0.3,411,72,1,3,71,336,0.013888888888888888,0.25,0.008849557522123894,0.009732360097323601,1423.0,346.2287104622871
2025,180,20,residual_bayes,0.047619047619047616,411,72,52,211,20,128,0.7222222222222222,0.19771863117870722,0.6224188790560472,0.6399026763990268,611.0,148.661800486618
2025,180,20,always_alarm,0.0,411,72,72,339,0,0,1.0,0.17518248175182483,1.0,1.0,339.0,82.48175182481752
2025,180,20,never_alarm,2.0,411,72,0,0,72,339,0.0,,0.0,0.0,1440.0,350.3649635036497
2025,180,50,logistic_empirical,0.055434954932169635,411,72,70,321,2,18,0.9722222222222222,0.17902813299232737,0.9469026548672567,0.9513381995133819,421.0,102.4330900243309
2025,180,50,logistic_bayes,0.0196078431372549,411,72,71,337,1,2,0.9861111111111112,0.17401960784313725,0.9941002949852508,0.9927007299270073,387.0,94.16058394160584
2025,180,50,logistic_fixed_030,0.3,411,72,1,3,71,336,0.013888888888888888,0.25,0.008849557522123894,0.009732360097323601,3553.0,864.4768856447689
2025,180,50,residual_bayes,0.0196078431372549,411,72,70,314,2,25,0.9722222222222222,0.18229166666666666,0.9262536873156342,0.9343065693430657,414.0,100.72992700729928
2025,180,50,always_alarm,0.0,411,72,72,339,0,0,1.0,0.17518248175182483,1.0,1.0,339.0,82.48175182481752
2025,180,50,never_alarm,2.0,411,72,0,0,72,339,0.0,,0.0,0.0,3600.0,875.9124087591241
2026,0,1,logistic_empirical,0.43547196681750705,235,35,0,5,35,195,0.0,0.0,0.025,0.02127659574468085,40.0,17.02127659574468
